,thermoreg_reading,enzyme_activity_index,dual_lobe_signal,stress_variability,habitat_zone,activity_score,fasting_flag,health_outcome,thermoreg_reading_fahrenheit
29,53.6,68.0,-1.8,4.2,c3,3.0,1.0,1,35.87738902707095
30,,69.0,1.5,8.5,c3,3.0,0.0,0,51.27482840783415
31,46.900000000000006,146.0,2.2,4.9,c1,3.0,0.0,0,
32,46.1,50.0,1.4,,c3,3.0,0.0,0,27.38981543835617
33,43.6,132.0,-0.3,-9.2,c3,3.0,,0,
34,55.1,121.0,3.0,-4.6000000000000005,c1,3.0,0.0,1,37.54381480317946
35,59.2,119.0,5.0,2.4000000000000004,c1,5.0,0.0,0,42.160750634488025
36,49.2,85.0,5.7,0.6000000000000001,c4,1.0,1.0,1,30.974472881106124
37,43.400000000000006,150.0,2.8000000000000003,3.5,c5,5.0,1.0,1,24.438591707337245
38,43.6,69.0,5.9,-8.5,c3,3.0,1.0,0,
39,55.400000000000006,90.0,-0.7000000000000001,0.4,c1,1.0,1.0,1,
40,56.1,127.0,,-2.6,c2,1.0,1.0,1,38.68928754083098
41,54.5,88.0,-1.6,-5.300000000000001,,3.0,0.0,1,36.88838841474676
42,44.8,63.0,6.800000000000001,12.4,,4.0,0.0,0,26.010412634401757
43,52.0,101.0,0.0,-2.9000000000000004,c1,3.0,0.0,1,34.08945190760048
44,51.1,119.0,4.7,-4.3,c1,3.0,1.0,1,33.05017228226655
45,51.900000000000006,,5.7,5.300000000000001,c2,2.0,0.0,0,33.968197370561114
46,57.1,167.0,4.7,4.1000000000000005,c3,3.0,1.0,0,
47,,54.0,3.3000000000000003,0.5,c4,5.0,1.0,1,34.01235993897214
48,55.6,304.9924704577469,3.1,11.0,c2,3.0,0.0,0,38.11022206764705
49,50.7,73.0,5.800000000000001,4.4,c1,4.0,0.0,1,32.608211625400024
50,52.5,78.0,-1.0,1.8,c1,1.0,1.0,1,34.60207458820986
51,55.2,93.0,-4.4,-4.1000000000000005,c3,3.0,0.0,1,37.68159403254686
52,38.5,63.0,3.7,7.1000000000000005,c1,4.0,0.0,1,18.885597621299
53,47.6,66.0,4.800000000000001,1.2000000000000002,c3,4.0,0.0,0,29.12295905278429
54,46.400000000000006,30.0,-2.6,-8.4,c2,3.0,0.0,0,27.76664611136484
55,45.0,129.0,2.3000000000000003,3.6,c2,3.0,0.0,0,26.250099365809923
56,48.0,120.0,-2.0,-2.1,c1,1.0,1.0,1,29.523719738959848
57,62.1,119.0,4.1000000000000005,5.300000000000001,c4,2.0,0.0,0,45.45447180110956
58,,61.0,4.9,0.1,c3,4.0,0.0,0,24.207519958760813
59,,,2.6,,c2,4.0,1.0,0,
60,36.7,75.0,-2.3000000000000003,-10.4,c2,1.0,0.0,0,16.85417205545776
61,47.5,79.0,6.6000000000000005,2.1,c2,5.0,0.0,0,28.986034730128026
62,51.5,57.0,2.0,,c2,5.0,0.0,1,
63,54.900000000000006,121.0,0.5,1.0,c4,2.0,1.0,1,37.27600098223351
64,55.900000000000006,100.0,5.1000000000000005,0.8,c2,1.0,,1,38.40103921813569
65,56.5,117.0,3.7,-4.2,c1,2.0,0.0,1,39.140125116799325
66,47.400000000000006,99.0,-1.7000000000000002,-5.5,c5,5.0,1.0,1,28.861474349764062
67,46.5,110.0,6.7,6.800000000000001,c2,3.0,0.0,0,27.83883386601889
68,57.0,116.0,3.2,1.8,c1,2.0,0.0,0,39.72178293131439
69,48.6,88.0,4.2,-1.1,c1,5.0,1.0,1,
70,39.900000000000006,,3.3000000000000003,4.9,c2,1.0,1.0,0,20.5188230899587
71,41.1,109.0,4.1000000000000005,8.6,c3,5.0,0.0,0,21.800415073968672
72,42.8,128.0,4.1000000000000005,5.800000000000001,c5,4.0,0.0,1,23.7249294259855
73,54.1,76.0,-2.0,-13.2,c1,2.0,0.0,0,36.474446696483874
74,51.3,131.0,3.1,2.2,c2,4.0,0.0,0,33.28183162463509
75,55.7,66.0,4.0,,c1,4.0,0.0,1,38.21436818660992
76,46.7,121.0,-0.8,-11.0,c2,3.0,0.0,0,28.154726182971192
77,51.400000000000006,85.0,0.4,-6.7,c3,4.0,0.0,0,33.426857219690426
78,55.2,130.0,3.5,,c1,3.0,0.0,0,37.63031354570603
79,47.7,135.0,4.6000000000000005,3.2,c5,4.0,,1,29.21588114251785
80,53.8,111.0,,1.3,c1,4.0,0.0,1,
81,44.900000000000006,90.0,2.7,-2.0,c3,5.0,0.0,0,
82,47.3,93.0,-3.6,-0.2,c3,4.0,0.0,1,28.732515380914357
83,47.1,83.0,2.8000000000000003,-4.3,c2,5.0,0.0,0,28.56435895401504
84,40.6,115.0,3.6,-2.2,c4,2.0,1.0,1,21.237443189698645
85,54.1,104.0,0.0,-2.9000000000000004,c3,2.0,0.0,0,36.38275232707024
86,46.400000000000006,35.0,5.300000000000001,-3.4000000000000004,c3,3.0,0.0,0,27.77537893817549
87,50.3,124.0,3.0,-2.7,c2,2.0,1.0,0,32.11244706854919
88,54.0,129.0,1.1,3.9,c3,5.0,1.0,0,36.32671993015318
89,53.7,108.0,3.6,-2.0,c1,2.0,1.0,1,36.01878058426949
90,55.5,88.0,2.2,3.6,c3,3.0,0.0,1,37.98846598075507
91,49.400000000000006,,0.4,1.4,,3.0,0.0,1,31.113630639415188
92,46.8,74.0,,-3.2,c3,5.0,1.0,0,
93,49.5,105.0,,-7.1000000000000005,c4,2.0,1.0,0,31.282536101842407
94,36.7,28.0,-4.5,-5.300000000000001,c5,5.0,1.0,0,16.81399009437773
95,38.6,92.0,3.6,-7.4,c1,2.0,0.0,0,18.975987748192217
96,39.6,85.0,,-3.9,c3,2.0,0.0,0,
97,42.2,122.0,4.3,3.2,c4,2.0,,1,23.024778551586664
98,53.400000000000006,125.0,6.800000000000001,,c1,5.0,1.0,0,35.59796804051093
99,42.900000000000006,69.0,-2.8000000000000003,-4.7,c1,2.0,0.0,0,23.850688501759453
100,47.1,50.0,0.1,-4.1000000000000005,c1,1.0,0.0,0,
101,60.6,96.0,,-2.3000000000000003,c4,2.0,1.0,1,43.69305468007459
102,47.3,133.0,2.4000000000000004,-1.5,c5,3.0,1.0,1,28.793624260447167
103,56.1,118.0,3.3000000000000003,,c4,2.0,,0,38.63764011620378
104,42.7,104.0,-1.9,-1.7000000000000002,c2,2.0,0.0,0,23.597440879911105
105,48.5,81.0,3.8,1.6,c3,2.0,1.0,0,30.15106197919133
106,42.6,101.0,4.1000000000000005,4.6000000000000005,c1,4.0,0.0,1,
107,47.400000000000006,55.0,2.1,0.2,c5,3.0,0.0,1,28.94870231689493
108,56.900000000000006,137.0,-3.3000000000000003,-10.2,c5,,,1,39.56277323711656
109,36.3,46.0,5.1000000000000005,-1.9,c2,5.0,0.0,0,16.45411619126886
110,53.6,53.0,0.3,1.2000000000000002,c1,,0.0,1,35.909812791912714
111,52.1,165.0,3.9,-4.0,c5,4.0,1.0,1,34.139620420990504
112,45.400000000000006,96.0,4.800000000000001,1.0,c4,2.0,1.0,0,26.65265039872885
113,38.6,84.0,3.3000000000000003,0.8,c5,3.0,0.0,1,18.98547931050391
114,50.7,51.0,0.7000000000000001,-5.4,c2,2.0,0.0,0,32.649165569424824
115,45.900000000000006,110.0,2.3000000000000003,-6.7,c1,3.0,1.0,0,27.234565618425776
116,52.0,127.0,4.4,-2.7,c2,1.0,0.0,1,34.09408590219233
117,50.3,95.0,,-12.1,c2,3.0,1.0,0,32.196669309710984
118,63.0,146.0,4.5,4.9,c4,3.0,0.0,0,46.41601002188824
119,48.2,129.0,6.0,,c1,3.0,0.0,0,29.84579935274278
120,42.0,101.0,1.2000000000000002,-3.8,c3,2.0,0.0,0,22.788522566403216
121,51.6,44.0,3.5,-4.3,c4,2.0,1.0,0,
122,51.900000000000006,72.0,0.9,4.1000000000000005,c1,2.0,0.0,1,33.97997015574589
123,,164.0,7.0,6.300000000000001,c2,,1.0,0,
124,56.8,114.0,3.4000000000000004,-1.2000000000000002,c3,2.0,1.0,0,39.516001213231206
125,53.0,108.0,4.2,7.1000000000000005,c2,4.0,0.0,0,
126,61.900000000000006,98.0,5.800000000000001,4.1000000000000005,c2,3.0,,0,45.16972602097606
127,40.6,67.0,4.3,3.5,c3,1.0,1.0,0,21.30113251109434
128,45.0,124.0,0.5,-5.6000000000000005,c1,2.0,0.0,1,26.24223620525227
129,42.7,128.0,5.5,-3.2,c3,3.0,1.0,0,23.66081652735028
130,47.0,117.0,-2.5,-10.5,c4,3.0,1.0,0,28.491711771598087
131,39.1,97.0,2.9000000000000004,9.8,c1,,0.0,0,19.60982467199322
132,55.2,126.0,4.4,-1.3,c1,,1.0,1,37.71635852132964
133,48.400000000000006,96.0,0.7000000000000001,-0.7000000000000001,,5.0,0.0,1,29.99999572611104
134,38.400000000000006,48.0,0.5,0.7000000000000001,c3,,1.0,0,
135,42.0,48.0,,1.3,c2,2.0,0.0,0,22.859788269132125
136,52.7,140.0,-3.9,-5.7,c2,4.0,1.0,1,34.821624627051754
137,,111.0,1.2000000000000002,-1.3,c3,2.0,1.0,0,39.54313911104943
138,66.10000000000001,,-0.7000000000000001,,c2,2.0,1.0,0,49.97057802522608
139,73.5,145.0,-1.8,-7.6,c3,4.0,0.0,0,58.22476219406597
140,53.5,113.0,,0.9,c4,5.0,1.0,1,35.72968489948397
141,42.2,96.0,4.800000000000001,-7.2,c2,3.0,1.0,0,23.09415691971322
142,33.1,90.0,5.0,-5.2,,3.0,1.0,1,12.811583473418215
143,52.3,83.0,-0.9,-7.9,c2,2.0,1.0,0,34.409403161094524
144,43.7,121.0,2.4000000000000004,4.1000000000000005,c2,3.0,0.0,0,
145,46.8,75.0,-2.7,-5.2,,4.0,1.0,0,
146,45.3,99.0,3.0,3.9,c3,4.0,0.0,0,
147,49.0,67.0,5.9,5.2,c3,1.0,1.0,0,30.73288202225253
148,58.7,110.0,-0.8,,c4,1.0,0.0,1,
149,51.400000000000006,85.0,1.4,-4.4,c2,4.0,1.0,1,33.4134371070081
150,48.900000000000006,99.0,6.6000000000000005,4.5,c4,3.0,0.0,0,
151,41.900000000000006,106.0,0.9,0.2,c1,5.0,0.0,1,22.679116224567693
152,36.8,80.0,5.800000000000001,12.8,c3,1.0,1.0,0,16.927853497660788
153,46.3,147.0,5.1000000000000005,1.4,c2,5.0,0.0,0,27.623228818340024
154,49.7,121.0,1.0,2.4000000000000004,c1,1.0,0.0,1,31.515957042635115
155,64.3,118.0,-1.2000000000000002,-3.2,c2,1.0,1.0,0,47.911369222218944
156,51.2,100.0,2.5,-2.4000000000000004,c1,5.0,0.0,1,33.172470693255974
157,58.0,124.0,4.2,5.800000000000001,c1,3.0,0.0,0,40.84465559920752
158,46.2,113.0,5.1000000000000005,10.9,c2,2.0,1.0,0,27.50633961314763
159,40.7,,4.1000000000000005,3.1,c5,3.0,1.0,1,21.33550610224678
160,42.400000000000006,105.0,5.300000000000001,0.1,c4,2.0,0.0,0,
161,44.400000000000006,58.0,-2.2,-1.5,c5,5.0,0.0,1,25.472965419178223
162,67.2,144.0,1.7000000000000002,1.0,c1,4.0,0.0,0,51.15622759191648
163,43.6,119.0,0.5,,c1,4.0,1.0,0,24.607519886980526
164,56.900000000000006,120.0,3.8,4.9,c1,2.0,0.0,0,39.54640283362711
165,42.900000000000006,26.0,4.7,-1.5,c3,1.0,0.0,0,23.87365539721676
166,57.6,65.0,1.7000000000000002,5.2,c5,4.0,1.0,1,40.3841571158682
167,53.2,121.0,2.1,3.5,c2,1.0,1.0,0,35.46455869495277
168,48.900000000000006,32.0,1.6,3.8,c2,1.0,1.0,0,30.590258921077183
169,49.8,116.0,3.5,3.4000000000000004,c1,3.0,1.0,1,31.63313726478109
170,44.900000000000006,118.0,,5.5,c3,4.0,,0,26.106910741135486
171,53.7,137.0,-0.7000000000000001,-0.4,c4,3.0,0.0,1,36.01464981333872
172,46.5,88.0,5.4,2.0,c3,3.0,1.0,0,
173,40.3,96.0,8.4,6.300000000000001,c3,5.0,0.0,1,20.969548126094764
174,39.900000000000006,89.0,,3.5,c2,2.0,0.0,1,
175,51.5,63.0,-2.3000000000000003,-2.2,c2,1.0,1.0,0,33.55329125949908
176,62.8,142.0,5.6000000000000005,3.6,c2,2.0,1.0,0,46.21182130769391
177,51.400000000000006,140.0,2.0,-1.2000000000000002,c4,3.0,1.0,0,33.43992452216094
178,49.2,117.0,1.6,-0.9,c3,4.0,1.0,0,30.932255065011056
179,52.400000000000006,91.0,4.4,2.3000000000000003,c1,3.0,0.0,1,
180,60.6,138.0,-0.7000000000000001,-9.7,c2,3.0,0.0,0,43.75401567536142
181,51.900000000000006,138.0,5.9,7.9,c1,3.0,0.0,0,33.974442512274706
182,46.900000000000006,126.0,-0.7000000000000001,-0.8,c1,3.0,0.0,1,28.301654922496365
183,59.0,143.0,0.8,-3.5,c1,2.0,1.0,0,
184,53.6,63.0,1.4,2.1,c4,1.0,0.0,1,35.85880794615452
185,62.5,132.0,4.2,-0.1,c1,2.0,0.0,0,45.82180392796393
186,51.6,120.0,-0.5,-4.2,c5,2.0,1.0,1,33.64910993499716
187,40.400000000000006,112.0,-1.1,-1.0,c1,2.0,0.0,1,20.979778714515497
188,,96.0,2.2,6.4,c2,2.0,0.0,0,19.68656720678901
189,63.400000000000006,165.0,2.3000000000000003,1.6,c4,3.0,1.0,0,46.858351390081246
190,64.0,74.0,3.8,-1.6,c1,3.0,0.0,1,47.51299148704968
191,48.7,113.0,-2.6,-5.4,c4,2.0,1.0,1,30.384327080456597
192,47.1,108.0,2.0,3.8,c3,2.0,0.0,0,
193,61.900000000000006,144.0,5.300000000000001,4.800000000000001,c1,1.0,1.0,0,45.15299863017982
194,41.3,127.0,-3.8,,c5,4.0,0.0,1,22.036588861608607
195,43.0,,4.5,4.0,c1,3.0,0.0,1,23.947456829397563
196,55.3,150.0,-0.4,1.3,c1,4.0,0.0,1,37.7899411522014
197,47.0,117.0,4.5,10.9,c4,2.0,0.0,0,28.448553894263693
198,50.1,95.0,-0.2,-7.5,c1,1.0,1.0,0,31.95390319951936
199,48.900000000000006,74.0,-0.1,,c3,4.0,0.0,0,
200,52.900000000000006,,-1.6,1.0,c1,1.0,0.0,1,35.0381709391904
201,61.400000000000006,127.0,,14.8,c5,2.0,0.0,0,44.66733675182345
202,50.900000000000006,111.0,0.3,-5.5,c2,3.0,0.0,0,32.81526416211571
203,55.3,92.0,4.0,3.5,,4.0,0.0,1,37.79544913949172
204,33.7,89.0,3.8,2.4000000000000004,c5,,1.0,1,13.548451090720796
205,49.8,89.0,-3.5,-0.9,c3,4.0,1.0,1,
206,43.400000000000006,122.0,0.3,0.7000000000000001,c3,3.0,0.0,0,24.41092756736416
207,40.400000000000006,130.0,3.1,2.6,c2,4.0,0.0,0,21.03068245618735
208,43.1,,5.800000000000001,6.800000000000001,c3,2.0,0.0,0,24.096628697641243
209,47.5,98.0,4.6000000000000005,2.0,c1,3.0,0.0,1,
210,57.5,139.0,6.5,1.9,c2,1.0,0.0,0,40.24312288120412
211,39.5,90.0,-2.0,-1.5,c2,3.0,0.0,1,
212,50.400000000000006,64.0,4.4,0.0,c2,,0.0,1,32.275683433349755
213,46.3,117.0,-1.6,-3.5,c1,4.0,1.0,1,27.642475099997792
214,47.5,80.0,-3.2,-10.5,c4,4.0,0.0,0,29.05094215074235
215,58.2,119.0,-3.2,-4.2,c1,3.0,0.0,1,41.02482042774144
216,54.5,81.0,-4.4,-9.4,c2,3.0,,0,36.84303893303533
217,60.900000000000006,140.0,1.3,-0.6000000000000001,c3,4.0,0.0,0,44.036582966984696
218,48.900000000000006,87.0,5.6000000000000005,-1.3,c1,4.0,0.0,1,30.609448886750897
219,44.6,115.0,0.6000000000000001,-1.2000000000000002,c1,1.0,0.0,1,25.736516494963677
220,48.400000000000006,92.0,-2.4000000000000004,0.1,c1,3.0,0.0,1,
221,52.1,91.0,4.9,0.2,c1,5.0,1.0,1,34.182471121441
222,51.6,114.0,5.2,-1.0,c4,2.0,0.0,0,33.5891602260834
223,41.5,57.0,-0.6000000000000001,,c2,3.0,,0,22.2405073498997
224,50.900000000000006,150.0,-0.9,1.5,c2,2.0,,1,32.81440803465087
225,52.0,108.0,4.5,4.1000000000000005,c1,4.0,0.0,1,
226,70.3,119.0,5.7,1.4,c2,4.0,0.0,0,54.65726633780528
227,65.2,115.0,4.3,-0.5,c1,5.0,0.0,0,48.89160150153504
228,43.3,89.0,1.7000000000000002,-1.6,c1,4.0,0.0,1,24.32080984497062
229,47.900000000000006,123.0,2.7,0.5,c2,3.0,0.0,1,29.413549746057416
230,38.400000000000006,57.0,0.5,-8.5,c3,3.0,1.0,0,18.829021983466973
231,45.400000000000006,82.0,3.6,-2.6,c1,4.0,0.0,1,26.68363687432862
232,52.7,103.0,0.9,4.4,c1,4.0,0.0,1,34.84044503231306
233,59.8,158.0,-2.3000000000000003,-2.7,c3,1.0,0.0,0,
234,44.3,118.0,0.8,4.3,c1,2.0,0.0,1,25.438245460307524
235,44.900000000000006,,5.300000000000001,7.4,c1,4.0,0.0,0,26.11268203938983
236,33.0,72.0,-1.7000000000000002,,c5,1.0,1.0,1,12.674398732352106
237,48.900000000000006,137.0,7.1000000000000005,3.4000000000000004,,4.0,0.0,0,30.53600671509583
238,41.7,120.0,5.4,7.300000000000001,c3,5.0,0.0,0,22.438270293263933
239,,112.0,6.6000000000000005,7.4,c4,2.0,,0,
240,43.1,110.0,-2.2,0.7000000000000001,c1,2.0,1.0,1,
241,49.400000000000006,83.0,4.1000000000000005,1.9,c2,5.0,1.0,1,31.151637011726987
242,36.1,126.0,0.4,-0.7000000000000001,c2,3.0,1.0,1,16.180444477790317
243,38.400000000000006,74.0,-1.7000000000000002,-4.2,c1,4.0,1.0,0,18.79659279148109
244,67.2,144.0,-1.0,-2.7,c1,,1.0,0,
245,39.900000000000006,101.0,6.1000000000000005,0.8,c5,2.0,1.0,1,20.413196768533723
246,41.400000000000006,49.0,0.8,-1.2000000000000002,c1,1.0,,0,22.12892979390824
247,64.9,124.0,0.1,-2.2,c4,3.0,0.0,0,48.53222175489182
248,73.4,145.0,4.9,0.7000000000000001,c2,5.0,1.0,0,58.14560452316366
249,40.8,82.0,2.2,3.7,c3,3.0,0.0,0,
250,47.2,94.0,0.7000000000000001,-7.0,c2,1.0,1.0,0,28.685759388907726
251,52.900000000000006,,4.6000000000000005,3.9,c2,1.0,1.0,0,35.07399995846458
252,64.0,101.0,-1.6,-6.9,c2,4.0,0.0,1,
253,42.3,53.0,,-3.9,c2,1.0,0.0,0,23.11828629414586
254,,81.0,5.0,-0.5,c4,2.0,1.0,1,29.79249938652101
255,56.400000000000006,131.0,2.3000000000000003,2.4000000000000004,c4,4.0,0.0,0,38.996038184555694
256,53.6,129.0,-0.1,-11.3,c1,2.0,0.0,1,
257,,112.0,-0.9,,c1,3.0,0.0,1,28.614595358929108
258,49.1,123.0,5.300000000000001,3.2,c4,2.0,1.0,0,
259,39.2,89.0,-4.0,-9.2,c1,2.0,0.0,0,19.62593772467017
260,48.3,83.0,2.7,1.5,c4,2.0,0.0,1,29.85643630422801
261,48.0,71.0,,-3.7,c1,3.0,1.0,0,
262,52.0,69.0,-0.6000000000000001,-2.3000000000000003,c1,2.0,0.0,0,34.089529006636305
263,45.7,87.0,3.8,-3.6,c1,5.0,1.0,1,27.002055030628856
264,53.900000000000006,128.0,5.0,11.4,c1,2.0,,0,36.243846702906254
265,58.3,120.0,3.8,,c3,4.0,1.0,0,41.114442360378455
266,51.400000000000006,103.0,-3.0,-3.1,c2,2.0,1.0,1,33.3988639490162
267,53.0,77.0,-3.0,-8.3,c5,2.0,1.0,1,
268,50.6,171.0,0.6000000000000001,-2.2,c2,3.0,0.0,1,32.47839812820081
269,50.2,78.0,2.8000000000000003,,c3,4.0,0.0,0,32.00075953782273
270,44.400000000000006,94.0,6.300000000000001,5.0,c3,,0.0,0,25.50597769811437
271,52.7,132.0,6.4,5.7,c1,2.0,0.0,0,34.84844835505977
272,49.400000000000006,100.0,6.6000000000000005,5.1000000000000005,c4,4.0,0.0,1,
273,66.9,107.0,1.4,1.0,c2,2.0,0.0,0,
274,62.8,143.0,1.3,-1.2000000000000002,c2,5.0,0.0,0,46.16019412227718
275,53.2,69.0,3.0,2.5,c2,1.0,0.0,1,35.47261897300851
276,44.1,137.0,2.8000000000000003,-1.8,c2,4.0,1.0,1,25.13248511274709
277,41.3,93.0,4.4,-2.3000000000000003,c1,3.0,0.0,0,21.98829675214924
278,59.7,110.0,-1.2000000000000002,5.2,c1,2.0,1.0,0,42.72028657779978
279,52.3,66.0,-2.7,-2.2,c5,1.0,0.0,1,34.36474302632425
280,54.0,76.0,3.7,9.3,c4,5.0,0.0,1,36.3212906305245
281,,75.0,-1.1,-3.7,c4,2.0,0.0,0,16.298726117232267
282,,164.0,-1.6,7.2,c3,2.0,0.0,0,40.34694633402363
283,53.8,113.0,3.5,1.8,c3,2.0,0.0,0,36.08978304392927
284,41.3,95.0,5.4,8.0,c4,2.0,0.0,1,22.00612384026969
285,46.400000000000006,104.0,4.9,2.8000000000000003,c2,3.0,0.0,0,27.75627673295046
286,52.3,168.0,4.6000000000000005,3.1,c4,3.0,1.0,0,
287,50.6,89.0,4.9,2.2,,5.0,0.0,1,32.472201185206195
288,47.8,139.0,-4.1000000000000005,-7.300000000000001,c2,2.0,0.0,1,
289,49.3,88.0,2.1,4.4,c2,4.0,1.0,1,31.068605587406356
290,48.1,78.0,3.2,1.2000000000000002,c1,5.0,0.0,1,29.73220359613803
291,51.400000000000006,100.0,,0.6000000000000001,c1,1.0,1.0,1,
292,61.900000000000006,118.0,4.7,6.4,c5,4.0,0.0,0,
293,29.6,81.0,3.8,7.7,c2,2.0,1.0,1,8.90007403161832
294,,35.0,-6.5,-5.5,c1,3.0,0.0,0,29.86834761941284
295,51.6,107.0,4.9,-3.7,c5,1.0,1.0,1,33.588611792352026
296,52.5,88.0,5.9,2.2,c5,2.0,0.0,1,34.663945907183894
297,47.2,76.0,-0.9,-2.5,c3,1.0,1.0,0,28.65276876810839
298,36.1,42.0,4.4,2.3000000000000003,c1,2.0,0.0,1,16.189503957692757
299,52.8,95.0,,7.800000000000001,c1,1.0,0.0,0,34.951959353426986
300,64.0,110.0,1.4,4.4,c4,5.0,0.0,0,47.54615192747767
301,37.9,68.0,3.0,0.4,c1,5.0,0.0,1,18.19524735575476
302,57.1,68.0,3.0,11.3,c1,4.0,0.0,1,39.774452123283695
303,47.5,,2.0,,c1,2.0,1.0,0,29.043272991893957
304,49.7,78.0,5.300000000000001,1.9,c3,5.0,1.0,1,31.44808088754037
305,41.7,42.0,7.2,0.0,c2,5.0,0.0,1,22.52391340366446
306,47.5,81.0,,-6.4,c4,4.0,1.0,0,28.98989444879711
307,60.6,97.0,0.5,,c4,4.0,1.0,1,43.70040135229063
308,54.8,109.0,1.9,4.3,c5,2.0,1.0,1,
309,,109.0,,5.300000000000001,c1,5.0,1.0,0,47.5908044486895
310,59.6,77.0,1.1,-4.4,c2,3.0,,1,42.59670700079924
311,53.7,82.0,,,c3,3.0,1.0,1,35.95178011036619
312,64.10000000000001,77.0,3.6,4.9,c5,2.0,0.0,1,
313,53.7,,2.1,-8.4,c1,1.0,1.0,0,35.95093842864469
314,56.8,328.0437521280195,1.1,6.800000000000001,c1,5.0,,0,39.45189359117353
315,47.8,135.0,2.8000000000000003,,c3,3.0,0.0,0,29.330861418187624
316,50.7,85.0,5.7,6.800000000000001,c3,4.0,,0,32.598912342732845
317,44.6,,0.1,3.5,c1,1.0,0.0,0,25.723185590297508
318,58.1,125.0,6.4,-4.7,c2,3.0,0.0,0,
319,40.7,62.0,-0.3,-2.8000000000000003,c2,2.0,0.0,0,21.395267391966208
320,56.400000000000006,94.0,1.2000000000000002,4.800000000000001,c2,4.0,1.0,1,
321,48.6,93.0,3.5,1.4,c1,3.0,1.0,1,30.28414048245357
322,59.5,119.0,-1.5,0.2,c3,2.0,0.0,0,
323,56.2,299.4251904165647,-3.1,1.8,c1,1.0,0.0,1,38.757820898581336
324,64.7,125.0,6.300000000000001,6.9,c1,2.0,1.0,0,48.38581541882121
325,56.0,101.0,4.1000000000000005,0.9,c2,2.0,0.0,0,
326,37.6,116.0,1.4,2.1,c1,4.0,1.0,1,17.851637699120836
327,49.6,96.0,,-4.9,c3,4.0,1.0,0,31.39742144391619
328,40.8,80.0,4.4,4.3,c2,2.0,0.0,1,21.451935266646657
329,46.0,88.0,-3.1,-1.2000000000000002,c2,3.0,0.0,0,27.33548141870353
330,62.3,118.0,4.7,3.2,c1,5.0,1.0,0,45.6010558994905
331,55.3,72.0,-3.3000000000000003,0.4,c1,,,1,37.73780429807926
332,44.6,64.0,-0.9,-1.2000000000000002,c3,3.0,0.0,0,25.709626142791283
333,42.0,153.0,4.9,3.3000000000000003,c1,,0.0,1,22.876543702036408
334,50.400000000000006,56.0,1.4,7.4,c1,3.0,1.0,1,32.295038835886345
335,40.400000000000006,91.0,3.4000000000000004,-2.7,c3,2.0,1.0,0,21.05095865556985
336,44.8,101.0,2.9000000000000004,6.800000000000001,,2.0,0.0,0,25.95973750343077
337,52.7,132.0,6.300000000000001,9.5,c2,2.0,1.0,0,34.808085243961195
338,59.400000000000006,126.0,-1.1,1.0,,3.0,1.0,0,42.397808324960266
339,55.0,160.0,1.1,-2.3000000000000003,c1,2.0,1.0,0,
